Label,url_length,num_dots,num_hyphens,num_at,has_https,contains_login
phishing,79,2,0,0,0,0
phishing,72,3,1,0,0,0
phishing,186,2,1,0,0,1
phishing,46,2,1,0,0,1
phishing,33,3,0,0,0,1
phishing,45,1,1,0,0,0
phishing,247,5,1,0,0,0
phishing,42,3,0,0,0,0
phishing,177,5,1,0,1,0
phishing,115,11,0,0,0,1
phishing,20,1,0,0,0,0
phishing,109,3,2,0,0,0
phishing,24,1,0,0,0,0
phishing,119,11,0,0,0,1
phishing,136,8,0,0,0,0
phishing,45,5,1,0,0,0
phishing,46,3,0,0,0,0
phishing,142,7,6,0,0,1
phishing,40,3,0,0,0,0
phishing,43,3,0,0,0,0
phishing,25,1,0,0,0,0
phishing,150,3,2,0,0,1
phishing,115,11,0,0,0,1
phishing,81,11,0,0,0,1
phishing,115,11,0,0,0,1
phishing,82,11,0,0,0,1
phishing,115,11,0,0,0,1
phishing,182,2,1,0,0,1
phishing,182,2,1,0,0,1
phishing,182,2,1,0,0,1
phishing,35,2,0,0,0,0
phishing,31,3,1,0,0,1
phishing,33,2,0,0,0,0
phishing,41,3,0,0,0,0
phishing,83,5,0,0,0,0
phishing,71,5,1,0,0,0
phishing,174,14,1,0,0,1
phishing,173,14,1,0,0,1
phishing,186,2,1,0,0,1
phishing,186,2,1,0,0,1
phishing,75,4,1,0,0,0
phishing,73,7,0,0,0,0
phishing,37,1,1,0,0,0
phishing,74,6,1,0,0,0
phishing,246,5,0,0,0,0
phishing,51,4,1,0,0,0
phishing,85,6,0,0,0,1
phishing,40,3,0,0,0,0
phishing,155,1,0,0,0,0
phishing,90,2,1,0,0,0
phishing,34,2,1,0,0,0
phishing,83,1,0,0,0,0
phishing,50,1,0,0,0,0
phishing,30,1,0,0,0,0
phishing,107,5,0,0,0,0
phishing,164,13,1,0,0,1
phishing,141,13,0,0,0,1
phishing,182,2,1,0,0,1
phishing,172,14,1,0,0,1
phishing,55,2,1,0,0,0
phishing,26,2,1,0,0,1
phishing,25,2,1,0,0,1
phishing,54,2,0,0,0,0
phishing,19,1,0,0,0,0
phishing,27,3,0,0,0,0
phishing,73,4,2,0,0,0
phishing,65,3,1,0,0,0
phishing,34,3,1,0,0,0
phishing,88,3,0,0,0,0
phishing,105,4,0,0,0,0
phishing,40,3,1,0,0,0
phishing,76,4,2,0,0,0
phishing,48,4,0,0,0,0
phishing,36,3,0,0,0,0
phishing,83,9,1,0,0,1
phishing,18,1,0,0,0,0
phishing,70,3,0,0,0,0
phishing,193,3,2,0,0,1
phishing,15,2,0,0,0,0
phishing,144,3,0,0,0,0
phishing,39,2,1,0,0,0
phishing,40,2,1,0,0,0
phishing,42,3,0,0,0,0
phishing,144,3,0,0,0,0
phishing,73,3,0,0,0,0
phishing,144,3,0,0,0,0
phishing,144,3,0,0,0,0
phishing,144,3,0,0,0,0
phishing,84,10,0,0,0,0
phishing,76,1,0,0,0,0
phishing,30,1,0,0,0,1
phishing,29,1,0,0,0,1
phishing,75,3,1,0,0,1
phishing,70,3,0,0,0,0
phishing,143,3,0,0,0,0
phishing,48,4,1,0,0,0
phishing,28,1,0,0,0,0
phishing,58,1,1,0,0,0
phishing,77,3,1,0,0,1
phishing,149,9,2,0,0,1
phishing,116,9,2,0,0,1
phishing,34,3,0,0,0,0
phishing,64,3,0,0,0,0
phishing,67,3,1,0,0,0
phishing,42,3,0,0,0,0
phishing,67,6,0,0,0,0
phishing,77,6,0,0,0,0
phishing,55,6,0,0,0,0
